,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
30,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,addExpression#QAbstractExpression,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
31,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,aliasedAttributes#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
32,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getAllAnonymousClassDeclarations#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
33,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getAllLambdas#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
34,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getAllMethodInvocations#,ExtractMethod,"EXTRACT_METHOD,PARAMETERIZE_VARIABLE,EXTRACT_METHOD,EXTRACT_METHOD,EXTRACT_METHOD,PARAMETERIZE_VARIABLE,PARAMETERIZE_VARIABLE",7,"EXTRACT_METHOD,EXTRACT_METHOD",2
35,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getAllVariableDeclarations#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
36,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getAllVariables#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
37,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getCreationMap#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
38,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getInnerNodes#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
39,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getMethodInvocationMap#,ExtractMethod,"EXTRACT_METHOD,EXTRACT_METHOD,EXTRACT_METHOD,EXTRACT_METHOD,PARAMETERIZE_VARIABLE,PARAMETERIZE_VARIABLE,PARAMETERIZE_VARIABLE",7,"EXTRACT_METHOD,EXTRACT_METHOD",2
40,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,getVariableDeclarations#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
41,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,statementCount#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
42,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObject,toString#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
43,RefactoringMiner,gr.uom.java.xmi.decomposition,CompositeStatementObjectMapping,compareTo#QCompositeStatementObjectMapping,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
44,RefactoringMiner,gr.uom.java.xmi.decomposition,LeafMapping,callChainIntersection#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
45,RefactoringMiner,gr.uom.java.xmi.decomposition,LeafMapping,compareTo#QLeafMapping,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
46,RefactoringMiner,gr.uom.java.xmi.decomposition,LeafMapping,parentEditDistance#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
47,RefactoringMiner,gr.uom.java.xmi.decomposition,ObjectCreation,equals#QObject,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
48,RefactoringMiner,gr.uom.java.xmi.decomposition,ObjectCreation,hashCode#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
49,RefactoringMiner,gr.uom.java.xmi.decomposition,ObjectCreation,normalizedNameDistance#QAbstractCall,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
50,RefactoringMiner,gr.uom.java.xmi.decomposition,ObjectCreation,toString#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
51,RefactoringMiner,gr.uom.java.xmi.decomposition,ObjectCreation,update#QString;QString,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
52,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationBody,getAllOperationInvocations#,ExtractMethod,EXTRACT_METHOD,1,EXTRACT_METHOD,1
