,project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
22,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,subExpressionIntersection#QOperationInvocation,InlineMethod,"INLINE_METHOD,RENAME_VARIABLE,INLINE_METHOD",3,"INLINE_METHOD,INLINE_METHOD",2
23,RefactoringMiner,gr.uom.java.xmi.decomposition,OperationInvocation,varArgsMatch#QUMLOperation,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
24,RefactoringMiner,gr.uom.java.xmi.decomposition,TypeReplacementAnalysis,findTypeChanges#,InlineMethod,INLINE_METHOD,1,INLINE_METHOD,1
25,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,cast#QString;QString,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
26,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,compositeChildMatchingScore#QTryStatementObject;QTryStatementObject;QSetQAbstractCodeMapping;QListQUMLOperation;QListQUMLOperation,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
27,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,createCompositeMapping#QCompositeStatementObject;QCompositeStatementObject;QMapQStringQString;D,InlineMethod,"INLINE_METHOD,INLINE_METHOD,RENAME_VARIABLE",3,INLINE_METHOD,1
28,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,createLeafMapping#QAbstractCodeFragment;QAbstractCodeFragment;QMapQStringQString,InlineMethod,"INLINE_METHOD,INLINE_METHOD,RENAME_VARIABLE",3,INLINE_METHOD,1
29,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,expandAnonymousAndLambdas#QAbstractCodeFragment;QListQStatementObject;QListQCompositeStatementObject;QSetQStatementObject;QSetQCompositeStatementObject;QUMLOperationBodyMapper,InlineMethod,"INLINE_METHOD,INLINE_METHOD",2,INLINE_METHOD,1
30,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,getMethodInvocationRenameReplacements#,InlineMethod,MOVE_AND_INLINE_METHOD,1,INLINE_METHOD,1
31,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,getReplacements#,InlineMethod,"MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD,MOVE_AND_INLINE_METHOD",5,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",5
32,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,inlinedVariableAssignment#QStatementObject;QListQStatementObject,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,RENAME_VARIABLE,INLINE_METHOD,RENAME_VARIABLE",6,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",4
33,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,preprocessInput#QAbstractCodeFragment;QAbstractCodeFragment,InlineMethod,"INLINE_METHOD,INLINE_METHOD,RENAME_PARAMETER",3,"INLINE_METHOD,INLINE_METHOD",2
34,RefactoringMiner,gr.uom.java.xmi.decomposition,UMLOperationBodyMapper,preprocessInput1#QAbstractCodeFragment;QAbstractCodeFragment,InlineMethod,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",12,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",5
