project,package,class,method,refactoring,rminer.output,rminer.count,refdiff.output,refdiff.count
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.security.servlet,AbstractEndpointRequestIntegrationTests,getWebTestClient#QAssertableWebApplicationContext,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,CloudFoundryActuatorAutoConfigurationTests,findOperationWithRequestPath#QExposableWebEndpoint;QString,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,CloudFoundryMvcWebEndpointIntegrationTests,getPort#QAnnotationConfigServletWebServerApplicationContext,MoveMethod,"REMOVE_PARAMETER,MOVE_METHOD",2,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,CloudFoundryMvcWebEndpointIntegrationTests,mockAccessToken#,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,CloudFoundrySecurityInterceptor,getToken#QHttpServletRequest,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet,CloudFoundrySecurityInterceptorTests,mockAccessToken#,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.web.servlet,ManagementErrorEndpoint,getBooleanParameter#QServletWebRequest;QString,MoveMethod,MOVE_METHOD,1,MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.web.servlet,MockServletWebServerFactory,getRegisteredFilter#I,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,INTERNAL_MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.web.servlet,MockServletWebServerFactory,getRegisteredServlet#I,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,INTERNAL_MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.web.servlet,MockServletWebServerFactory,getServletContext#,MoveMethod,"ADD_PARAMETER,MOVE_METHOD",2,INTERNAL_MOVE_METHOD,1
spring-boot-actuator-autoconfigure,org.springframework.boot.actuate.autoconfigure.web.servlet,MockServletWebServerFactory,getWebServer#,MoveMethod,NA,0,"INLINE_METHOD,INLINE_METHOD,INLINE_METHOD",-3
